Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Santhoshkumar Thadavath Gopalakrishnan Nair,Dancing Deities,"£13,250",6-Apr-20,April,Q1,North,Bradford,Dance,"£15,000 and below",
Sheba Soul Ensemble,Questions and answers,"£15,000",11-Aug-20,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below",
Southampton Music Hub,Digital Native Artists (DNA) Programme,"£15,000",11-Aug-20,August,Q2,South West,Southampton,Music,"£15,000 and below",
Kieron Burke,Research and Development of Grime Orchestra,"£11,800",11-Aug-20,August,Q2,Midlands,Birmingham,Music,"£15,000 and below",
Tara Silverthorn,'if a bee falls in a forest': Research & Development,"£5,507",11-Aug-20,August,Q2,South West,"Bristol, City of",Combined arts,"£15,000 and below",
Old Town Sounds Ltd,New Music for a New Era,"£14,586",11-Aug-20,August,Q2,South West,Swindon,Music,Grassroots Music,
strange futures,Malvern cube residency,"£14,925",11-Aug-20,August,Q2,Midlands,Dudley,Theatre,"£15,000 and below",
Tom Wright,I Ain't Dumb,"£14,995",11-Aug-20,August,Q2,Midlands,Coventry,Theatre,"£15,000 and below",
Avatara Ayuso,The Protocol. Outdoor Contemporary Dance Work,"£14,962",11-Aug-20,August,Q2,Midlands,Warwick,Dance,"£15,000 and below",
Caroline Summerfield,The Gardening Times,"£14,110",11-Aug-20,August,Q2,South West,Tewkesbury,Theatre,"£15,000 and below",
FOSPL,Nurturing our Becoming,"£14,200",11-Aug-20,August,Q2,South West,"Bristol, City of",Libraries,"£15,000 and below",
Platform Asia,Psychosocial Activating,"£14,524",11-Aug-20,August,Q2,Midlands,North East Derbyshire,Visual arts,"£15,000 and below",
Poppy Sall,Hidden Histories: Women of Colour II,"£14,941",11-Aug-20,August,Q2,Midlands,Warwick,Literature,"£15,000 and below",
Elfyn Jones,The Trilobite,"£2,400",11-Aug-20,August,Q2,South West,Teignbridge,Music,"£15,000 and below",
Faisal Hussain,Suspect Objects at SOAS 2020/21,"£15,000",11-Aug-20,August,Q2,Midlands,Birmingham,Visual arts,"£15,000 and below",
Emma Bettridge,"Illustrating, reworking and future proofing The Other Stories","£14,390",11-Aug-20,August,Q2,South West,Somerset West and Taunton,Literature,"£15,000 and below",
