Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Feelprime Ltd,Old Fire Station Digital,"£27,689",3-Apr-23,April,Q1,South West,"Bournemouth, Christchurch and Poole",Music,"£30,000 and below",Supporting Grassroots Live Music
Downtown Pompey,Sticky Floors and Palm Trees,"£29,623",3-Apr-23,April,Q1,South West,Portsmouth,Theatre,"£30,000 and below",
Chew Valley Performing Arts,Autumn Fringe Festival 2023,"£25,256",3-Apr-23,April,Q1,South West,Bath and North East Somerset,Combined arts,"£30,000 and below",
Upfest,Weston Wallz 2023,"£30,500",3-Apr-23,April,Q1,South West,"Bristol, City of",Visual arts,"£30,000 and below",
Chloe Thurlow,"Haunt, Pray, Love","£20,060",3-Apr-23,April,Q1,South West,South Gloucestershire,Theatre,"£30,000 and below",
Hugh Malyon,Squeeze Box 2023,"£35,600",3-Apr-23,April,Q1,South West,Torbay,Theatre,"£30,000 and below",
Sally Crabtree,Birds on the Branchline with GWR Featuring The Poetree,"£17,000",3-Apr-23,April,Q1,South West,Cornwall,Literature,"£30,000 and below",
Isles of Scilly Folk Club,Scilly Folk Festival 2023,"£2,500",3-Apr-23,April,Q1,South West,Isles of Scilly,Music,"£30,000 and below",Supporting Grassroots Live Music
Cornwall Council Library & Information Service,The History of Cornwall Library Tour,"£15,500",4-Apr-23,April,Q1,South West,Cornwall,Libraries,"£30,000 and below",
Claire Parry,Boorish Trumpson Tour resubmission 2,"£26,827",4-Apr-23,April,Q1,South West,Eastleigh,Theatre,"£30,000 and below",
Joli Vyann,Touring and Development Programme,"£19,785",4-Apr-23,April,Q1,South West,New Forest,Dance,"£30,000 and below",
Tribe Alternative Stage School CIC,Tribe: Young People's Outdoor Arts Project 2023,"£10,726",4-Apr-23,April,Q1,South West,New Forest,Combined arts,"£30,000 and below",
Prodigal Theatre,Havyow Awenek,"£19,000",4-Apr-23,April,Q1,South West,Cornwall,Combined arts,"£30,000 and below",
Imogen Reeve,Discopia Pilot Tour,"£29,983",4-Apr-23,April,Q1,South West,Teignbridge,Combined arts,"£30,000 and below",
Shrewsbury Arts Trail,Shrewsbury Arts Trail 2023,"£30,575",4-Apr-23,April,Q1,Midlands,Shropshire,Visual arts,"£30,000 and below",
Christopher Lee,Opes and Dreams 2023,"£8,839",4-Apr-23,April,Q1,South West,Dorset,Visual arts,"£30,000 and below",
Company of Makers,"COMPANY OF MAKERS - “THE PODCAST, TALKS, WORKSHOPS PROJECT”","£85,185",4-Apr-23,April,Q1,South West,Portsmouth,Combined arts,"Above £30,000",
Cat and Mouse Theatre,Blockbuster Factory Climate Catastrophe Tour,"£20,069",4-Apr-23,April,Q1,South West,South Gloucestershire,Theatre,"£30,000 and below",
Bath Carnival CIC,Bath Carnival 2023: The Elements (10 Year Anniversary),"£79,000",4-Apr-23,April,Q1,South West,Bath and North East Somerset,Combined arts,"Above £30,000",
Break Mission,Aerobreaks,"£31,425",4-Apr-23,April,Q1,Midlands,Birmingham,Dance,"£30,000 and below",
Literature Must Fall,Jaag: Panjabi and Pahari Language and Literature Festival Festival,"£17,320",4-Apr-23,April,Q1,Midlands,Birmingham,Literature,"£30,000 and below",
KD Culture,Regeneration (R&D),"£19,010",4-Apr-23,April,Q1,Midlands,Birmingham,Dance,"£30,000 and below",
Daniel Oliver,"Performance Dork: R&D, presentation, workshops","£19,374",4-Apr-23,April,Q1,London,Wiltshire,Theatre,"£30,000 and below",
The Music Works,Gloucestershire Rising 3 – development of a blueprint community music hub model,"£85,000",4-Apr-23,April,Q1,South West,Gloucester,Music,"Above £30,000",
non zero one,teleports,"£27,615",5-Apr-23,April,Q1,South East,Westminster,Combined arts,"£30,000 and below",
Queer East CIC,Queer East Festival 2023,"£25,000",5-Apr-23,April,Q1,London,Westminster,Combined arts,"£30,000 and below",
The Garage trust,"Co Design, Young people making work","£32,599",5-Apr-23,April,Q1,South East,Norwich,Theatre,"£30,000 and below",
Inês Franco,Inês Loubet Trio SENGA Tour,"£6,367",5-Apr-23,April,Q1,London,Lewisham,Music,"£30,000 and below",
Wrongsemble,The Not So Big Bad Wolf - Touring 2023/24,"£29,500",5-Apr-23,April,Q1,North,Leeds,Theatre,"£30,000 and below",
Claudia Palazzo,Our Suspended Corridors - RESUBMISSION,"£35,550",5-Apr-23,April,Q1,London,Newham,Dance,"£30,000 and below",
Evewright Arts Foundation,Belongings: Windrush75,"£29,980",5-Apr-23,April,Q1,South East,Thurrock,Combined arts,"£30,000 and below",
Hikapee,Resubmission: Everywhere's a Beach,"£30,000",5-Apr-23,April,Q1,South East,Epsom and Ewell,Theatre,"£30,000 and below",
Leeds Library and Information Service,Children's Live Stories,"£27,510",5-Apr-23,April,Q1,North,Leeds,Libraries,"£30,000 and below",
Claire Gaydon,Piece of Me Rehearsals and 3 Week Run at Camden People's Theatre (resubmission x 4),"£30,290",5-Apr-23,April,Q1,London,Hackney,Theatre,"£30,000 and below",
Carabosse Theatre Company CIC,Dracula - a new adaptation by Carabosse Theatre Company,"£23,996",5-Apr-23,April,Q1,South East,Milton Keynes,Theatre,"£30,000 and below",
Ourania Chrysostomou,On Being Vocal,"£8,084",5-Apr-23,April,Q1,South East,Maidstone,Music,"£30,000 and below",
Samuel Rees,THE 1968 PROJECT (resubmission),"£26,400",5-Apr-23,April,Q1,South East,West Suffolk,Theatre,"£30,000 and below",
Holly Marland,So Many Beauties dementia friendly Music Festival,"£29,960",5-Apr-23,April,Q1,North,Calderdale,Music,"£30,000 and below",
Working Chimp Productions CIC,The Longest Day Festival,"£11,189",5-Apr-23,April,Q1,North,Kirklees,Music,"£30,000 and below",Supporting Grassroots Live Music
Hartlepool Borough Council,Tall Ships Hartlepool 2023,"£154,000",5-Apr-23,April,Q1,North,Hartlepool,Combined arts,"Above £30,000 - Over £100k application",
The Northern School of Art,The Northern Festival of Illustration 5,"£48,156",5-Apr-23,April,Q1,North,Middlesbrough,Visual arts,"Above £30,000",
Jade Sloan,Daisy Donald - creation,"£11,205",5-Apr-23,April,Q1,North,Darlington,Theatre,"£30,000 and below",
Arvinda Gray,Creating Communication,"£9,327",5-Apr-23,April,Q1,North,Manchester,Visual arts,"£30,000 and below",
Flora Wilson Brown,The Beautiful Future is Coming: R&D 1,"£4,892",5-Apr-23,April,Q1,London,Islington,Theatre,"£30,000 and below",
Ebony Steelband Trust,Ebony & Carnival 23,"£17,600",5-Apr-23,April,Q1,London,Westminster,Music,"£30,000 and below",
Catherine Yass,Barking Flood Barrier,"£23,695",5-Apr-23,April,Q1,London,Tower Hamlets,Visual arts,"£30,000 and below",
Migration Museum Project,Heart of the Nation 2023,"£97,000",5-Apr-23,April,Q1,London,Lambeth,Music,"Above £30,000",
Jamila Johnson-Small,"THE R&D, PRESENTATION & STRATEGIC DEVELOPMENT OF IV, A NEW GROUP PERFORMANCE WORK FOR THE STAGE & GALLERY","£40,284",5-Apr-23,April,Q1,London,Lewisham,Dance,"£30,000 and below",
Joseph Funnell,Performance: Un-bordered image luxury,"£24,950",5-Apr-23,April,Q1,London,Southwark,Dance,"£30,000 and below",
Orchardside School,Orchardside School,"£25,000",5-Apr-23,April,Q1,London,Enfield,Combined arts,"£30,000 and below",
Sophie Seita,The Hildegard von Bingen Society for Gardening Companions,"£14,849",5-Apr-23,April,Q1,London,Hackney,Combined arts,"£30,000 and below",
London Borough of Newham,Newham Word Festival 2023,"£29,925",5-Apr-23,April,Q1,London,Newham,Literature,"£30,000 and below",
The London Book Fair,London Book Fair LTC 2023,"£29,104",5-Apr-23,April,Q1,London,Richmond upon Thames,Literature,"£30,000 and below",Unlocking Collections
BRiGHTBLACK Productions Ltd,CARNiVAL - new ways to feel,"£29,871",5-Apr-23,April,Q1,London,Southwark,Combined arts,"£30,000 and below",
Segment,Moss Side Community Portrait,"£15,850",5-Apr-23,April,Q1,North,Manchester,Visual arts,"£30,000 and below",
Brockwell Live,LatinoLife @ Lambeth Country Show,"£28,578",5-Apr-23,April,Q1,London,Camden,Combined arts,"£30,000 and below",
Helen Varvarides,WNW_23,"£34,000",5-Apr-23,April,Q1,London,Enfield,Combined arts,"£30,000 and below",
Anna Shams Ili,Feminist creative coding camp,"£4,731",5-Apr-23,April,Q1,London,Hackney,Combined arts,"£30,000 and below",
Sabean Bea,Dolls and Guys,"£18,112",5-Apr-23,April,Q1,South East,Hillingdon,Theatre,"£30,000 and below",
Black British Classical Foundation,"Celebration! a community derived performance of black music, Gospel/Opera/Choral that center the coronation","£25,469",5-Apr-23,April,Q1,London,Croydon,Music,"£30,000 and below",
Ice and Fire Theatre Company,In Our Own Words Tour,"£30,000",5-Apr-23,April,Q1,London,Hackney,Theatre,"£30,000 and below",
Pride Community Foundation,‘Culture ConneX’ Festival Season - International Arts Exchange & Community Engagement Programme,"£36,950",5-Apr-23,April,Q1,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Jamie Wyld,Queer Visions,"£28,801",5-Apr-23,April,Q1,South East,Brighton and Hove,Visual arts,"£30,000 and below",
Art Celebration,READING MELA 2023,"£19,500",5-Apr-23,April,Q1,South East,Wokingham,Combined arts,"£30,000 and below",
Josh Overton,Dante: An Outdoor Circus Theatre Spectacle,"£29,967",5-Apr-23,April,Q1,North,"Kingston upon Hull, City of",Theatre,"£30,000 and below",
We Are Not Saints,Resubmission: Recovery Music Projects,"£32,500",5-Apr-23,April,Q1,South East,Brighton and Hove,Music,"£30,000 and below",
Rust & Stardust,The Knodishall Knucker,"£6,500",5-Apr-23,April,Q1,South East,Lewes,Theatre,"£30,000 and below",
